,ingredients_text,carbohydrates_100g,fiber_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g
304861,semoule-de-_blé_-dur,1.507550581691751,-0.05731718999664141,-0.42646188288692644,0.2063267437081999,-0.717178229214669,-0.6862806775244247
305218,sucre pâte-de-cacao beurre-de-cacao _beurre_-concentré émulsifiants lécithine-de-_soja_  arôme,0.9027835980737062,1.3410884522917947,2.2400131960440857,-0.5157569064854834,0.8508448833081003,2.055100728771791
305223,sucre pâte-de-cacao beurre-de-cacao _beurre_-concentré émulsifiant lécithine-de-_soja_  arôme,0.8890388939005689,1.2840106709738996,2.212237413971888,-0.548089010225499,0.8508448833081003,2.055100728771791
305505,orange,-0.6228785651445422,-0.5710172218576997,-0.06537671594835186,-0.9791837267590412,-0.7955793848408075,-0.7004115095156422
305924,pommes-de-terre huile-de-palme dextrose,-0.19335655973399923,-0.05731718999664141,-0.5653407932479166,-0.7959684722322858,-0.5865096365044382,-0.41779486969129015
305985,lait-écrémé protéines-de-lait,-0.791251191265475,-0.7707894564703334,-0.3486896930847719,-0.6558626893588846,-0.7903526411323982,-0.7004115095156422
306804,tomatoes salt,-0.8290491277416028,-0.5424783311987519,-0.44312735213024523,-0.9791837267590412,-0.7955793848408075,-0.7004115095156422
306908,maïs sel-marin,1.7068487922022426,0.7703106391128414,-0.6097820445634335,-0.21399060491200378,-0.6178700987548936,-0.601495685577119
306941,maïs huile-de-tournesol 25%  sel-marin,0.8649856615975784,0.8844662017486319,-0.5653407932479166,-0.3433190198720665,0.7828972150987802,-0.17757072584059083
307055,pâte-de-cacao sucre beurre-de-cacao arôme-naturel-de-vanille,0.5110595291392912,1.5693995775633758,1.556728957068014,-0.4403153310921135,1.227170430313565,2.6062031764292777
307123,bleached-wheat-flour butter sugar chocolate-liquor almonds corn-starch cocoa-powder dextrose salt sodium-bicarbonate natural-flavor,0.9179027726641575,0.14245504461599237,0.8128935131745503,-0.37026243965541283,0.7217443137103923,1.5788916906677575
307331,pommes-de-terre huile-de-palme,-0.2964418410325295,-0.08585608065558911,-0.6097820445634335,-0.7959684722322858,-0.6649107921305767,-0.5167106936298135
307355,pâte-de-cacao sucre beurre-de-cacao arôme-naturel-de-vanille,0.3770486634512018,1.997482937447591,1.3011917620037918,-0.3325416519587279,1.2637576362724294,2.662726504394148
307361,sucre beurre-de-cacao _lait_-entier-en-poudre émulsifiant-:-lécithine-de-_soja_ arôme-naturel-de-vanille,0.998996527285668,0.08537726329809697,2.4844400782794285,-0.4403153310921135,0.798577446224008,1.8855307448771796
307584,farine-de-_blé_ huile-de-tournesol gluten-de-_blé_ sel sucre levure,1.4044653003932206,0.42784395120546914,-0.3264690674270135,0.22788147953487695,-0.33562593850079514,-0.5873648535859014
307867,_lait_ sel présure,-0.9664961694729765,-0.7707894564703334,-0.6208923573923127,2.4911287413359737,0.7201762905978695,1.8431382489035268
308974,milk,-0.791251191265475,-0.7707894564703334,-0.33757938025589274,-0.7205268968389159,-0.7119514855062599,-0.5449723576122486
309010,corn sea-salt,1.916455530842588,0.14245504461599237,-0.5936720909615587,-0.39720585943875925,-0.7433119477567152,-0.6438881815507718
309021,tomate,-0.550718868235571,0.19953282593388766,0.05128156875487991,-0.7205268968389159,-0.7746724100071706,-0.6862806775244247
309047,tomato acidity-regulator citric-acid,-0.7740703110490533,-0.1429338619734844,-0.3486896930847719,-0.860632679712317,-0.7694456662987613,-0.6862806775244247
309090,lait-écrémé,-0.7981235433520436,-0.7707894564703334,-0.3486896930847719,-0.7097495289255774,-0.7851258974239891,-0.6862806775244247
309362,semoule-de-_blé_-dur,1.4731888212589075,0.056838372639149266,-0.3431345366703323,0.22788147953487695,-0.7014979980894412,-0.6438881815507718
309367,semoule-de-_blé_-dur,1.4731888212589075,0.056838372639149266,-0.3431345366703323,0.22788147953487695,-0.7014979980894412,-0.6438881815507718
309368,semoule-de-blé-dur,1.4731888212589075,0.056838372639149266,-0.3431345366703323,0.22788147953487695,-0.7014979980894412,-0.6438881815507718
309370,semoule-de-blé-dur,1.4731888212589075,0.056838372639149266,-0.3431345366703323,0.22788147953487695,-0.7014979980894412,-0.6438881815507718
309863,sea-salt dehydrated-garlic black-pepper spices,-0.9664961694729765,-0.7707894564703334,-0.6208923573923127,-1.0654026700657497,-0.7955793848408075,-0.7004115095156422
