,ingredients_text,carbohydrates_100g,fiber_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g,clust
1724,sugar water bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  vegetable-oil palm soybean palm-kernel canola  cocoa processed-with-alkali  eggs cornstarch food-starch-modified nonfat-milk ,1.0178954955237318,-0.3712449872450659,1.6483890379062676,-0.6095200073315288,-0.132828282614517,-0.003761492348614347,3
1726,sugar water vegetable-oil palm soybean palm-kernel canola  bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  food-starch-modified corn-syrup eggs cornstarch mono--and-diglycerides salt ,1.1481265675642085,-0.7707894564703334,2.1139111454363064,-0.8994312042003358,0.08878565062203449,0.27744206427661605,3
1727,sugar water vegetable-oil palm soybean palm-kernel canola  bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  cocoa processed-with-alkali  food-starch-modified eggs corn-syrup cornstarch ,1.0952094564976296,-0.7707894564703334,2.0283617366539364,-0.8994312042003358,0.008293797512532277,0.27744206427661605,3
1731,sugar water vegetable-oil palm soybean palm-kernel canola  bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  cocoa processed-with-alkali  food-starch-modified eggs cornstarch corn-syrup,1.0952094564976296,-0.4283227685629613,1.9933642512429672,-0.8121345241022937,-0.057563173213424114,0.13048141156795293,3
1733,sugar water vegetable-oil palm soybean palm-kernel canola  bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  food-starch-modified eggs cocoa processed-with-alkali  cornstarch corn-syrup ,1.1357563338083847,-0.4283227685629613,1.9933642512429672,-0.8121345241022937,0.0035897281749638827,0.13048141156795293,3
1734,sugar water vegetable-oil palm soybean palm-kernel canola  bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  food-starch-modified eggs cocoa processed-with-alkali  corn-syrup cornstarch ,1.1759595935148115,-0.4283227685629613,2.0589150969333545,-0.8121345241022937,0.0035897281749638827,0.13048141156795293,3
1736,sugar water vegetable-oil palm soybean palm-kernel canola  bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  cocoa processed-with-alkali  food-starch-modified eggs cornstarch corn-syrup ,1.0952094564976296,-0.4283227685629613,1.9933642512429672,-0.8121345241022937,-0.057563173213424114,0.13048141156795293,3
1745,sugar water vegetable-oil palm soybean palm-kernel canola  bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  food-starch-modified cornstarch eggs corn-syrup mono--and-diglycerides salt ,1.1680563886152573,-0.7707894564703334,2.072247472328009,-0.9015866777830036,-0.003727713016808978,0.1559169091521446,3
1746,sugar water vegetable-oil palm soybean palm-kernel canola  bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  cocoa processed-with-alkali  food-starch-modified eggs cornstarch corn-syrup ,1.1161701303616642,-0.34270609658611817,2.072247472328009,-0.7388484222915915,-0.08265154301378835,0.1559169091521446,3
1796,milk cream sugar corn-syrup egg-yolks natural-and-artificial-flavor cellulose-gel guar-gum cellulose-gum mono--and-diglycerides locust-bean-gum polysorbate-80 carrageenan annatto for-color ,-0.15349691763190085,-0.7707894564703334,0.39459023516724784,-0.6019758497921919,-0.12132944645601668,0.36364013942304346,1
1899,roasted-peanuts salt,-0.2146608512023622,1.9118662654707483,-0.44757147726179697,1.6289393082688892,1.8177924693638081,0.1827654899354581,4
1900,roasted-peanuts salt,-0.2146608512023622,1.9118662654707483,-0.44757147726179697,1.6289393082688892,1.8177924693638081,0.1827654899354581,4
1917,milk cream sugar corn-syrup high-fructose-corn-syrup whey buttermilk cellulose-gel guar-gum cellulose-gum mono-&-diglycerides locust-bean-gum polysorbate-80 carrageenan natural-flavor artificial-flavor annatto for-color ,-0.16105650492712634,-0.7707894564703334,0.6812363061523317,-0.7291487911695868,-0.3053108249920216,0.1827654899354581,1
1960,roasted-peanuts salt,-0.2146608512023622,1.9118662654707483,-0.44757147726179697,1.6289393082688892,1.8177924693638081,0.1827654899354581,4
2060,milk cream,-0.8520715072316078,-0.7707894564703334,-0.43590564879147375,-0.7065163185515758,-0.2729050139998844,0.24211498429857206,1
2073,broccoli carrots,-0.7644490181278571,0.22807171659283534,-0.4903461816529819,-0.8121345241022937,-0.7955793848408075,-0.7004115095156422,1
2081,green-beans,-0.7239021408171019,-0.08585608065558911,-0.4247953359625946,-0.8121345241022937,-0.7955793848408075,-0.7004115095156422,1
2084,raisins,1.7824446651544985,0.6561550764770505,2.7122014912714523,-0.7959684722322858,-0.7955793848408075,-0.7004115095156422,3
2085,raisins,1.7824446651544985,0.6561550764770505,2.7122014912714523,-0.7959684722322858,-0.7955793848408075,-0.7004115095156422,3
2088,almonds,-0.16483629857473925,3.024883001169708,-0.43590564879147375,1.0900709126019614,1.8177924693638081,-0.229854804208096,4
2102,water apple-juice-concentrate,-0.5799263646034879,-0.7707894564703334,0.004062739232143251,-1.0654026700657495,-0.7955793848408075,-0.7004115095156422,1
2127,pasteurized-part-skim-milk cheese-cultures salt microbial-enzymes,-0.9664961694729765,-0.7707894564703334,-0.6208923573923127,1.8735855599016742,0.1546426213479907,0.584081118486038,2
2132,pork beef salt dextrose lactic-acid-starter-culture spices sodium-ascorbate sodium-nitrite garlic-powder bha bht citric-acid,-0.8438246847277254,-0.7707894564703334,-0.4225732733968187,0.8594352392565162,0.8842960430419193,1.0659424893865586,2
2143,pork beef salt dextrose lactic-acid-starter-culture spices sodium-ascorbate sodium-nitrite garlic-powder bha bht citric-acid,-0.8438246847277254,-0.7707894564703334,-0.4225732733968187,0.8594352392565162,0.8842960430419193,1.0659424893865586,2
2231,green-beans canola-oil almonds sea-salt pepper,-0.7239021408171019,-0.08585608065558911,-0.4903461816529819,-0.9382297286883547,-0.5493997561747327,-0.7004115095156422,1
